author,text,likeCount,publishedAt
@TheYenbeo,Indonesia không thuần chủng.bị lai mấy dòng đời rồi .không có bản sắc dân tộc,0,2024-11-01T10:55:50Z
@newsgetsold,This video did not show any of the shots or chances for Indonesia?,0,2024-10-10T16:35:56Z
@putragobs1017,"I may be an indonesian and sometimes hates the naturalized players. But they proud for their bloodlines in my country. So I kinda let them fine here.



Edit: I just hope sometimes Shin tae-yong would put the locals. Just look at Ernando. And now out of nowhere, he's part of the senior as well.",0,2024-10-09T12:08:55Z
@ElijahHull-z6z,How did the soccerwhos not score Omg,0,2024-10-05T20:45:12Z
@わわ-l8w,Australia...This is red flag.,0,2024-10-04T21:09:32Z
@somnolence8754,Australia vs Netherlands II,0,2024-10-01T21:39:25Z
@GilbertConstance-s3u,Maybell Walk,0,2024-09-30T18:57:14Z
@Voyzka,I like all fair and respectful comments here. Bravos for both nations.,1,2024-09-30T07:45:17Z
@fareezyounghusband6563,The real monster in group c..is Australia..her finishing is verry2 dangerous..,0,2024-09-30T05:17:42Z
@iwansulistiyo272,🇮🇩🇮🇩,0,2024-09-30T04:30:43Z
@denyanggara5364,Sorry for bad field from indonesian fans,0,2024-09-30T03:33:13Z
@rizkalibna,🇮🇩🦅,0,2024-09-30T01:23:48Z
@linksangkebon2606,Ranking just a number😂,0,2024-09-27T10:11:32Z
@vinkofawzi,"Indonesia vs Australia ❌
Netherlands vs Australia ✅",0,2024-09-26T10:59:08Z
@Penny_Shufen,"Saya selalu bermimpi indonesia bisa bermain di piala dunia
Dan sekarang aku mulai merasakan kenyataan mimpi itu",0,2024-09-26T08:02:33Z
@AnakJapung-m8y,🇮🇩💪,0,2024-09-25T14:49:21Z
@KikiFaelani-sp8ir,Ya,0,2024-09-25T10:05:56Z
@CitraFabella,"🇮🇩 menanti pertandingan melawan Jepang bukan tim negara lain, karena negara lain kami pikir skuad kami tidak jauh beda sama mereka peringkat bukan jaminan bagi Indonesia, pemain Indonesia bukan dari liga Indonesia tetapi dari, Belgia, Belanda, Amerika, inggris dan Italia.",1,2024-09-25T03:32:01Z
@EvanJuni-oe3mj,"134 vs 24!!!crazy ,😅😅😅😅😅😅0:0",4,2024-09-24T03:09:57Z
@sardorchoryev7443,Malayziya  uzbekiston sizlar bilan ❤,0,2024-09-23T12:25:24Z
@kabarkini7561,❤❤❤🎉🎉,0,2024-09-23T08:23:18Z
@温め中華終わりました,Go back to OFC!,0,2024-09-23T00:25:17Z
@vananvlog6838,Hay lắm Indonesia,0,2024-09-23T00:10:03Z
@ANUNAKI-b2y,Indonesia❤,0,2024-09-22T20:04:36Z
@theblatantaussie1530,Cant wait to have to watch Australia qualify through another play off against Syria...,0,2024-09-22T10:47:52Z
@ambisisyurga8985,"Kesulitan menghadapi negara negara arab adalah, mereka pandai action dan mengulur waktu",0,2024-09-21T02:40:05Z
@netyarianiok9876,Australia Rank 24 vs Indonesia Rank 133 🤔,1,2024-09-21T00:11:23Z
@Wlas-88,Malaydes fc😂,0,2024-09-20T18:22:08Z
@zulfanmaulana5266,Australia one of strongest team in Asia. Hope Indonesia further will join in the club. Love from Indonesia 🇮🇩🤝🇦🇺,0,2024-09-20T01:21:45Z
@Kamalanurizal,"MANYALA Abangku... 
I love indonesia❤❤",0,2024-09-19T18:33:29Z
@akubicara2776,Waktu lawan Arab saudi seharusnya kita bisa menang... Sayang depannya tumpul,0,2024-09-19T16:24:11Z
@iwantv813,Semoga Indonesia melangkah jauh dan bisa masuk piala dunia 2026 ❤,0,2024-09-19T02:48:50Z
@ENjux_Musik,"Australia tetaplah Australia yang selalu lolos ke piala dunia.
Dan kami Indonesia sedang berusaha menuju ke sana.",0,2024-09-18T12:49:20Z
@Manusiaaldous-x9y,❤,0,2024-09-17T19:59:39Z
@ebigsutalagan9842,"Terimakasih australia, telah memberikan tim nasional kami pertarungan yang sengit..",0,2024-09-17T16:33:34Z
@Okka340,Supporter Timnas: Thank you for providing fair play,0,2024-09-17T16:18:41Z
@KensuChannel,Saudi Arabia and Australia are strong teams and have been regulars in the World Cup and they are on par with the strong East Asia. So it is only natural that Indonesia is very proud of holding a draw against a strong team that is ranked at the top of Asia.,0,2024-09-17T15:46:53Z
@moladex163,"🇯🇵
🇮🇩
🇦🇺
🇸🇦
🇧🇭
🇨🇳",0,2024-09-17T15:07:33Z
@FathirIlmi-ds3dd,Lagi santai kawan 😅,0,2024-09-17T11:17:30Z
@juanindojorgijanad782,I think Indonesia drew a match with the Socceroos.,0,2024-09-17T08:14:05Z
@hezrienhomaximilliano9368,Mantap Indonesia. Indonesia melangkah ke Piala Dunia 2026,0,2024-09-17T03:32:00Z
@HanDavies,Rumput bosok,0,2024-09-17T02:09:33Z
@KamaludinGhayung,Marteen paes👍 🔥,0,2024-09-16T23:53:23Z
@hikbalsuryana5780,Rank24😂😂😂😂,0,2024-09-16T12:45:42Z
@saoskecap-o8z,"saya jika jadi warga australia pasti akan marah 😂 ,negara dengan rank 24 tapi tidak bisa mencetak gol satupun ke negara rank 129 .walau disini australia mendominasi serangan tapi lini belakang indonesia terlalu tangguh dan juga tentunya disertai kberuntungan",0,2024-09-16T08:40:54Z
@AMWPICTURE,EASY VS FRUSTRATION,0,2024-09-16T04:53:37Z
@anggasutrisno8844,"Indonesia mengalami kemajuan pesat, Dan Australia Masuk dalam kategori Tim Terbaik. Semoga bisa bersatu memajukan sepak bola",0,2024-09-16T04:42:48Z
@ahmadrizaldi6728,I think Australia🇦🇺🐨🦘 good👍👍🔋 attacking,1,2024-09-16T03:59:02Z
@herusetiyadi5852,"Sama-sama bagus main nya.. 
Indonesia Australia good team",0,2024-09-16T03:20:00Z
@Navra-sc2ws,"Draw Against rank 130 national team who is tired after long flight is unacceptable bruh. Idk why i feel like we will lose against them in sydney. They will have another new half blood in their team, its  one of best eredivisie defender. And in future there are 4-5 grade a player who will be in par with irvin, souttar, etc. This group is core of hell hahaha. 4 team is world cup level.",0,2024-09-15T23:32:23Z
@zorkaep,King indo nii bos.....wellll😊,0,2024-09-15T17:38:14Z
@IwnStd-sb7ry,71000 fans are rock n amazing........the best suporter in asia n meybe in the world,55,2024-09-15T17:19:56Z
@uwen1980,Australia play very well but Indonesia team play strongger......never give up garuda....NOW OR NEVER....❤,1,2024-09-15T16:20:37Z
