author,text,likeCount,publishedAt
@RCTIENTERTAINMENT,1 POIN PERDANA!!!! Berapa Nilai Untuk Pertandingan TIMNAS SENIOR kala menghadapi Saudi Arabia ini?,4121,2024-09-06T00:10:08Z
@ElisSadeli,"Saya lihat berkali2 tp tolong buat RCTI klu ngundang komentatir yg tdk ada ucapan nyalabin pemain timnas krn kasian pemain kadang di bully oleh netizen kadang di hujat juga, tolong2 ya buat RCTI",0,2024-11-03T07:11:04Z
@ttompel9287,"Nanti ketemu arab di kandang, kita sorakin kalau banyak drama kek gini lagi, emang bener bener dah pemain/wasit dari timur tengah ni.",0,2024-11-02T18:40:28Z
@Toaf173,"witan Sulaiman itu perlu belajar utk Finishing Krn dh dia dpt umpan didepan gawang tapi witan belum sempurna dlm melakukan Finishing nya ,,,,",0,2024-11-02T15:49:00Z
@malewastar1020,E,0,2024-11-02T01:43:49Z
@ryankenthong,sip,0,2024-10-30T18:48:25Z
@KinandanaDwipayana,Pdhl tendangan gk berbahaya,0,2024-10-23T13:25:44Z
@Mqntan01-c4q,mengeringkan,0,2024-10-20T08:48:54Z
@AhmadFirdaus-jt6ew,mantap,0,2024-10-19T17:45:52Z
@junisonsoni1040,Arab penduku ng israeal,0,2024-10-19T09:09:39Z
@Ratuzialita,Ini baru kreeeen ni permainan indonesia arab imbang mainya,0,2024-10-19T03:15:20Z
@asepeka9002,"Kenangan manis yg takan ku lupa,,saya nonton langsung ,saya jujur krj jadi sopir di arabia,,skrg udh pulng ke indo..saya bengong ko indo pemain nya luar negri semua( mf blm tau naturalisasi), ketinggalan berita 😂😂😂 maklum kuli...smngt maju terus garuda ku mantaaaaaaaaaaap......",0,2024-10-19T02:52:54Z
@alfathirchannelkids2861,"Riski. Ridho layak main d luar negeri, knp lawan china dia jdi cadangan 😢",0,2024-10-18T11:34:41Z
@elikuswati7097,"Mending adem lihat gini susunan pemain baik, kapten layak Jay idzes 👍",0,2024-10-18T10:13:33Z
@Tasik123-h1b,Kenapa pemain kebsnyakan naturalisasi sedangkan pemain indonrsia juga banyak dan kenapa fikri  tidak dimainkan bagus duet sama wilan  dimainkan,0,2024-10-17T06:32:25Z
@ezraelfjr9447,"Mancini terheran heran
Ini tim debutan pildun maen gila😂🎉😂🎉😂🎉",0,2024-10-17T03:41:14Z
@Helmi-cj4tu,Bagus ya ini lagi sekemah nya dari pada yg tadi malam kek Anji,0,2024-10-16T06:05:05Z
@JeonLalisa-i5z,Mengobati hati dengan nonton ulang akibat kalah dari china😭😭,0,2024-10-16T03:29:31Z
@SindiSindi-f3u,Arab Saudi terlalu bahagia telah mengalahkan Argentina. Sehingga masih terlena dengan sejarah itu mpe sekarang 😅,0,2024-10-14T15:22:08Z
@Urlove_Lliciaaaaa,Baru pertama kali liat gawang marteen paes kebobolan😢😭 10:41,1,2024-10-14T02:45:18Z
@Yusuf-h3g9s,"15 menit pertama raut wajah para Pemain belakang arab saudi seperti terheran heran..""ape bende nii""",0,2024-10-14T02:14:50Z
@Fito-kj8ch,❤❤❤,0,2024-10-13T17:31:15Z
@Ernawati-od3tr,Indonesia sekarang luar biasa,0,2024-10-13T17:21:55Z
