author,text,likeCount,publishedAt
@RCTIENTERTAINMENT,"Kesal Sedih kecewa jadi satu!!!
Gimana pertandingan ini menurut kalian??",4663,2024-10-10T18:46:34Z
@DafirAlgauzi-xb1zt,90+6=99,0,2024-11-06T02:36:35Z
@user-rn2gt6yu1g,kalo ernando di masukkan mugkin nak gol karna proses golnya itu dari tendagan sudut nah ernando biasa nya langsung maju buat ambil itu,0,2024-11-06T01:02:17Z
@adibawilanda2030,wasitnya ga bisa ngitung udh jls jls itu udhan 6 jadi 9 aneh,0,2024-11-05T16:34:42Z
@GilbertSilaban-po6lr,90+6=99,0,2024-11-05T13:41:22Z
@AkbarNurdaffa-vb8hz,"Wasit curang 
 90+6=99",0,2024-11-05T12:18:40Z
@ninhfirgq5282,I love you indonesia wasit nay dibayar bahrain,0,2024-11-05T09:33:23Z
@RudiandokoAndoko,Cukup dikeprok ndase,0,2024-11-05T04:39:26Z
@RudiandokoAndoko,Pejoh,0,2024-11-05T04:37:39Z
@RudiandokoAndoko,Tungkak cangkeme wasite + bahrain,0,2024-11-05T04:36:31Z
@RudiandokoAndoko,Wasite kirek,0,2024-11-05T04:35:30Z
@RudiandokoAndoko,Antemi ndase,0,2024-11-05T04:35:02Z
@RudiandokoAndoko,Keprok ndasmu khusus wasite,0,2024-11-05T04:34:24Z
@RudiandokoAndoko,Berakhir ricuh,0,2024-11-05T04:34:01Z
@LuthLuthfil,"Wasitnya ngak bisa matematika.
Siapa sih wasitnya. Kalo lihat buli aja",0,2024-11-04T23:40:26Z
@Jasmin-l8-d9e,Indonesian U-9,0,2024-11-04T06:59:56Z
@warasmotor1417,Semoga wasit Indonesia vs Jepang tidak terjadi seperti ini lagi kerana wasit Indonesia vs Bahrain gak bisa matematika 90+6=100 ☠️☠️☠️☠️☠️,1,2024-11-04T05:14:48Z
@warasmotor1417,Dasar wasit udah besar gak bisa matematika 90+6=100😅😅😅,1,2024-11-04T05:07:00Z
@Mahjong21,Wasit kampung ini,0,2024-11-03T10:28:45Z
@adadesain8582,wasit  tidak  pintar  matematika,0,2024-11-03T04:53:48Z
@RafaGibran-v6k,Harus nya 90+6=96kok99,0,2024-11-03T04:52:17Z
@radittopglobalyin,Semoga wasit nya kena karma,0,2024-11-02T14:04:54Z
@reynaldyprasetio4606,bahrain jembud,0,2024-11-02T08:41:19Z
@NinuGendut,90  +6 =99   karena  bagi wasit  baren,0,2024-11-02T05:17:21Z
@KetutBudiarta-s9d,Fucking drama..,1,2024-11-01T15:46:00Z
@DerilSuade,🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬😡🤬😡🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬,0,2024-11-01T12:24:30Z
@cardovainfo1025,Sejarah mencatat pertandingan bahrain vs timnas Indonesia.  Good lock,0,2024-11-01T09:38:07Z
@delldion,Ahmed Al kaff WASIT BAJINGANN!!!!,1,2024-11-01T04:37:22Z
@JasulJasuli,Jdond,0,2024-11-01T01:00:07Z
@minatulrochmah2363,SAKIT SELURUH HATI BANGSA INDONESIA. AYO BANGSA INDONESIA KITA TEROR HABIS.. SAN DI GBK. KITA TEROR SAMPEK SPAI HOTEL NGINAP KITA GANGGU TIDURNYA DI HOTEL TUNJUKAN BAHWA KITA NEGARA BESAR. MERAH/PUTIH❤,0,2024-10-31T13:30:07Z
@minatulrochmah2363,ASLINYA RAKYAT BAHRAIN MALU LIAT TIMNYA MAIN CURANG DAN DIBANTU WASIT GUNDUL BOTAK,0,2024-10-31T13:17:37Z
@VivoY91-g7b,wasit botak curang bang,0,2024-10-30T12:18:55Z
@haryoketro4102,Semoga Timnas semakin berjaya 💪,0,2024-10-30T11:36:53Z
@ivomoza4976,Wasit itu botak gak tau lg 6tambah 9,0,2024-10-30T05:44:05Z
@putrapermanaar3931,Jika aku sudah ku hantam wasit kaya itu kada Kawa pang datang di stadion langsung,0,2024-10-29T17:18:31Z
@putrapermanaar3931,Sogok itu atau di bayar,0,2024-10-29T17:16:32Z
@AfafYulianto-vp2zk,"indonesia U23 vs Korea U23 (kemenangan yang fenomenal)

babak pertama 45+7 = 56 (lebihnya 4 menit dari normal)
babak kedua 90+10 = 103 (lebihnya 3 menit)

melihat dari kasus wasit Oman, emang benar wasit boleh menambahkan waktu, asal tidak mengurangi.
ini loh lebih parah.
sebenarnya kalau tidak kemasukan indonesia bahrain indonesia tidak akan kecewa.
tapi kena kemasukan, jadi wasit yang disalahkan.
jadi kesimpulannya dan yang harus disalahkan itu karena terjadi goal, jika tidak goal tidak masalah.
bukan membela wasit oman, kita main logika akal saja. pantas saja surat PSSI ditolak semua.",0,2024-10-29T12:43:23Z
