author,text,likeCount,publishedAt
@RCTIENTERTAINMENT,"Tegakkan Kepala Garuda! masih ada 6 Laga yang harus kita lewati!!!
Gimana tanggapan kalian buat match kali ini?",1080,2024-10-15T15:53:05Z
@mariaulfa4044,"Syg martin paes kebobolan 2 gol dri negara cina yg notabe nya di grup c jg lubung gol dri negara lain
Satu kata cm buat STY.. PUKIMAK..",1,2024-11-05T15:08:02Z
@mvacorp4387,"Permainan China tidak menggambarkan mereka di rank 100 besar. Kalah jauh sama permainan Indo. Terbukti jelas....walau kalah 2-1, dan STY blunder dibabak awal, China digebuk habis sama Indonesia. Statistik unggul jauhh, padahal mereka MAIN DIKANDANG SENDIRI. Klo China masih main ky gtu pas nanti di GBK, Indonesia bisa menang 3-0, ato paling ngga 3-0",0,2024-11-04T07:12:57Z
@seblakkucing,"lwn tim enteng aja kalah
gimana nti lawan berat kyk jepang, saudi 😂
eh kemarin lwn Iraq msh susah bgt, ini belum ketemu team yg Top kyk Iran, Uzbek, Jordan.
realistis klasemen 4",0,2024-11-04T00:04:29Z
@DwiPurwani-j4r,Kurangnya pengetahuan 😮 Verdhock,0,2024-11-02T12:22:53Z
@zaskiaauratv,mending ARHAN dari pada ASNAWI cuy ,0,2024-11-01T07:50:40Z
@arissusanto1565,Komentar nya berlebihan bung Makruf: ....di hukum oleh tomhaye 😅😂,0,2024-10-31T02:32:19Z
@raffialfahri5510,Semangat Indonesia semoga menang jangan Patang menyerah,0,2024-10-30T13:26:29Z
@Idhenz,Mau liat ulang higlithnya males 😢dah..nawi nawi,0,2024-10-30T10:59:35Z
@marleyuye645,asnawi gabisa maen,0,2024-10-29T19:11:27Z
@suburbudiono1694,Dalm trawangan saya japan australia cina mengajak indonesia supaya timur tngh gk lolos bbk 4 bsok cina krja kras lawan timur tngah japan klh 1.0 australia menang di pertandingan ke tujuh cina setidak nya draw atau menang lwan timur tngh japn australia sdh muak dengan afc permainan curang saat nya timur tengah tenggelm di kncah afc,0,2024-10-29T18:28:38Z
@OditBasir,❤❤❤,0,2024-10-28T14:36:09Z
@okanirwana4927,Indonesia mendominasi pertandingan . Tinggal finising,0,2024-10-28T11:49:35Z
@DartoQizruh-s6u,biar kalah tapi timnas mainya sangat bagus seperti klas eropa,0,2024-10-28T03:36:57Z
@fonkyal-jayasinga2312,"Maen 2 sentuhan lol..

Kbanyakan pasing maju mundur kagak chantik Lol",0,2024-10-26T17:16:26Z
