author,text,likeCount,publishedAt
@RCTIENTERTAINMENT,"Fiuhhhhh, Deg degan, Tegang! Semua ada di Match Timnas Indonesia vs Australia malam ini! Torehan 1 poin lagi untuk Timnas Indonesia sangat dibutuhkan demi bisa mewujudkan mimpi bermain di Piala Dunia 2026! Coach Online, gimana pendapat kalian tentang match kali ini?",2093,2024-09-10T14:36:46Z
@MuhammadRosul-r9u,ayo semangat indonesia,0,2024-11-02T22:52:18Z
@hazelnatt4241,Marten paes  03:36,0,2024-10-31T05:06:43Z
@SapariSapari-fs3df,bagus bg Riski ridho,0,2024-10-31T00:38:13Z
@UbayUbay-m4f,Salut sama kiper nyh🎉🎉🎉,0,2024-10-26T14:55:17Z
@divaauliaramadhanipurnama7898,"tim Indonesia semua nya
semangat",0,2024-10-26T12:33:51Z
@MohRauf-c6m,Jangan buru buru mau me ngoper nya. Klok di Gring dulu jaga jarak liat blakang klok enk umpan sama temen nya insyaaalloh GK kemana mana umpanya ya mohon maaf ya bang klok saya berbicara kayak gini soal nya saya cuma kasih tau aja biar lebih jago mainnya,0,2024-10-22T05:47:53Z
@ImanuelefyNuel,Jagan memuji penjaga gawangnya karna dia org asing,0,2024-10-19T12:58:05Z
@ImanuelefyNuel,Katanya indonesia tapi pemainnya org asing semua,0,2024-10-19T12:56:52Z
@veronikasembiring27,Indonesia,0,2024-10-18T06:56:30Z
@FonoliaSoni-x2c,"Kesalahan ada di Pelatih kepala alias STY, sebab dari awal kita menghadapi lawan yg kuat seperti Arab saudi, Australia dan Bahrain kita masih imbang, kok lawan China Kita keok..aneh bin ajaib padahal china  lumbung gol dri lawan² kita tdi,
Nah kesimpulanya STY terlalu mengubah  ubah starting line up kita
Exsperimen boleh tp jgn berlebihan",0,2024-10-15T16:19:01Z
@FonoliaSoni-x2c,Akibat remehkan lawan😅,0,2024-10-15T16:01:24Z
@AbdulAziz28-h1d,kok ada marteen paes???,0,2024-10-15T14:19:41Z
@usluk251,Menit ke 3 :27 bahaya itu kalau penalti,0,2024-10-15T07:22:01Z
@cawetfamily9302,Kiper bukan kaleng2,0,2024-10-14T16:16:49Z
@OpitDin,seriusan itu kiper timnas indonesia,0,2024-10-14T15:47:36Z
@LusiUye,Tolong di kondisikan rumput nya ituuu😢😢😢😢,0,2024-10-13T17:19:43Z
@LusiUye,Tolong di kondisikan rumput nya ituuu😢😢😢😢,0,2024-10-13T17:19:34Z
@ade7160,Indonesia semangat 🇲🇨🤟🤟👍😊,0,2024-10-13T13:44:34Z
@ekanantoyo,"Thank you Jay, Martin Paes..you are man of the Match",0,2024-10-13T13:22:22Z
@asepdharsono2110,Pertandingan seru nggak kayak Bahrain wasitnya curang,0,2024-10-13T09:30:33Z
@DwiPurwani-j4r,Leg 2☝️👍🤲🙏🫢🇮🇩,0,2024-10-12T22:44:25Z
@AryaRamdani10,Ytytyweddy6uwz,1,2024-10-12T01:35:16Z
@n2v_austinnn,"Kena mental pemain aus😅sama supporter garuda😮😊😂... 
Natan terlalu nafsu sendiri maksa trobos mulu😅",0,2024-10-11T01:12:41Z
@maman0486,"pak erik laporin wasitnya ke fifa,wasitnya curang wktu tambahan lewat batas..",0,2024-10-10T18:23:28Z
@jakapranata-h1h,Indonesia ku aku selalu bersama mu apapun yang terjadi 😢,0,2024-10-10T18:21:06Z
@SitiAminah-pi3db,11🇲🇨,0,2024-10-10T12:32:01Z
@mazdacx5697,Australia ad pemain normalisasi jg ya hhhh,0,2024-10-10T03:52:46Z
@nabilacitra4324,😱😱😱,0,2024-10-09T18:46:30Z
